VideoID,Gloss
BAI_SEE_see_012.mp4,SEE
WLASL_HAPPY_26525.mp4,HAPPY
BAI_SAD_sad_037.mp4,SAD
WLASL_FAMILY_65677.mp4,FAMILY
BAI_ALWAYS_always_005.mp4,ALWAYS
ASL_14032048715472367-PERSON.mp4,PERSON
BAI_EAT1_eat_063.mp4,EAT1
ASL_25388069654637513-NEED.mp4,NEED
BAI_BOOK_book_048.mp4,BOOK
ASL_6494908330153699-YESTERDAY.mp4,YESTERDAY
ASL_7985319657788752-seedDRINK.mp4,DRINK1
BAI_LIKE_like_030.mp4,LIKE
BAI_WHAT1_what_052.mp4,WHAT1
BAI_PLEASE_please_040.mp4,PLEASE
BAI_HELP_help_020.mp4,HELP
BAI_SEE_seem_001.mp4,SEE
BAI_WHEN_when_003.mp4,WHEN
ASL_2803881528625629-seedWE.mp4,WE
BAI_REST_rest_015.mp4,REST
ASL_7586977823496697-CAN.mp4,CAN1
ASL_07989943881583805-NOT.mp4,NOT
BAI_START_smart_027.mp4,START
BAI_WRITE_write_020.mp4,WRITE
BAI_FAST_fat_009.mp4,FAST
ASL_6414476924051264-LOVE.mp4,LOVE
ASL_8478160589016772-STUDY.mp4,STUDY
BAI_HELLO_hello_012.mp4,HELLO
ASL_45941835587565105-ALWAYS.mp4,ALWAYS
BAI_NAME_name_044.mp4,NAME
ASL_9862201336212995-YESTERDAY.mp4,YESTERDAY
BAI_SLEEP_sweep_016.mp4,SLEEP
ASL_8608367067400609-COOK.mp4,COOK
ASL_258135021561094-SORRY.mp4,SORRY
ASL_7403545959302873-seedKEEP.mp4,KEEP
BAI_YOU_you_041.mp4,YOU
WLASL_LATER_32323.mp4,LATER
BAI_LATE_plate_003.mp4,LATE
WLASL_UNDERSTAND_60551.mp4,UNDERSTAND
BAI_GOOD_good_010.mp4,GOOD
BAI_FAST_fast_010.mp4,FAST
BAI_WHEN_when_008.mp4,WHEN
BAI_FAST_fast_023.mp4,FAST
BAI_NEVER_never_011.mp4,NEVER
ASL_5339916560192981-HELLO.mp4,HELLO
BAI_LIKE_lie_013.mp4,LIKE
BAI_LATE_late_004.mp4,LATE
BAI_YESTERDAY_yesterday_012.mp4,YESTERDAY
WLASL_NIGHT_48109.mp4,NIGHT
ASL_8932075820696184-THAT.mp4,THAT
WLASL_STAY_54557.mp4,STAY
ASL_23583741832617644-FINISH.mp4,FINISH
BAI_NAME_name_013.mp4,NAME
